시군구명,인구수,면적(km2),인구밀도
수원시,1233431,121.09,10186.07
용인시,1094561,591.22,1851.36
성남시,935966,141.63,6608.53
화성시,989676,699.41,1415.02
부천시,806356,53.6,15043.96
안산시,681529,156.53,4353.98
평택시,619844,458.25,1352.63
안양시,551112,58.5,9420.72
시흥시,556903,138.2,4029.69
김포시,508800,276.59,1839.55
광주시,404270,430.99,938.0
광명시,283124,38.53,7348.14
하남시,332359,92.99,3574.14
군포시,267009,36.42,7331.38
오산시,239159,42.71,5599.6
이천시,231265,461.45,501.17
안성시,202849,553.53,366.46
의왕시,159932,54.03,2960.06
양평군,126741,877.78,144.39
여주시,118536,608.29,194.87
과천시,81219,35.87,2264.26
고양시,1087607,268.08,4057.02
남양주시,740780,458.12,1617.0
파주시,511530,673.88,759.08
의정부시,469936,81.55,5762.55
양주시,276660,310.43,891.22
구리시,188634,33.33,5659.59
포천시,157992,826.95,191.05
동두천시,92414,95.7,965.66
가평군,63488,843.58,75.26
연천군,42768,677.58,63.12
종로구,139417,23.91,5830.91
중구,121312,9.96,12179.92
용산구,213151,21.87,9746.27
성동구,277361,16.82,16489.95
광진구,335554,17.06,19669.05
동대문구,341149,14.22,23990.79
중랑구,382155,18.50,20657.03
성북구,425602,24.58,17314.97
강북구,288113,23.60,12208.18
도봉구,306948,20.65,14864.31
노원구,498213,35.44,14057.93
은평구,466770,29.71,15710.87
서대문구,306231,17.63,17369.88
마포구,363697,23.85,15249.35
양천구,436028,17.41,25044.69
강서구,563058,41.45,13584.03
구로구,392405,20.12,19503.23
금천구,227481,13.02,17471.66
영등포구,374794,24.55,15266.56
동작구,378769,16.36,23152.14
관악구,481956,29.57,16298.82
서초구,407664,46.97,8679.24
강남구,544873,39.50,13794.25
송파구,654166,33.88,19308.32
강동구,459167,24.59,18672.92
