"자치구별(1)",자치구별(2),2022,2022,2022,2022,2022,2022
"자치구별(1)",자치구별(2),자전거 가해운전자 교통사고,자전거 가해운전자 교통사고,자전거 가해운전자 교통사고,자전거 피해운전자 교통사고,자전거 피해운전자 교통사고,자전거 피해운전자 교통사고
"자치구별(1)",자치구별(2),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명)
"합계",소계,1674,8,1861,1454,6,1550
"합계",종로구,30,-,35,16,1,15
"합계",중구,24,-,25,20,-,23
"합계",용산구,30,-,33,37,-,39
"합계",성동구,85,1,91,59,-,62
"합계",광진구,41,-,45,28,-,28
"합계",동대문구,114,-,121,83,1,85
"합계",중랑구,88,-,101,85,1,89
"합계",성북구,39,-,39,39,-,39
"합계",강북구,41,-,42,45,-,45
"합계",도봉구,41,-,43,21,-,22
"합계",노원구,85,-,89,71,-,73
"합계",은평구,50,-,56,54,-,55
"합계",서대문구,34,-,36,35,-,36
"합계",마포구,49,-,59,56,1,60
"합계",양천구,47,1,49,64,-,66
"합계",강서구,112,1,128,110,-,118
"합계",구로구,80,1,90,55,-,62
"합계",금천구,30,-,34,22,-,23
"합계",영등포구,173,1,203,137,1,161
"합계",동작구,54,-,62,39,-,42
"합계",관악구,36,-,39,21,1,21
"합계",서초구,48,1,54,38,-,41
"합계",강남구,88,1,98,71,-,80
"합계",송파구,202,1,230,162,-,178
"합계",강동구,53,-,59,86,-,87
